30 Unterkünfte Airbnb 25.06-28.06 2026,,,
Unterkunft_Name,Gesamtpreis,Preis/Nacht,
"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",CHF 301.00,CHF 100.33,
Das Haus mit dem Schwein,CHF 198.00,CHF 66.00,
Elegante 3 Zimmer Residenz,CHF 618.00,CHF 206.00,
Stadtstudio,CHF 428.00,CHF 142.67,
"Attika 2,5 Zimmer möbliert Nähe HSG Universität",CHF 579.00,CHF 193.00,
Komfortables Doppelzimmer – zentral,CHF 132.00,CHF 44.00,
heimelige Wohnung in Goldach,CHF 286.00,CHF 95.33,
kleines Juwel -mit Terrasse,CHF 450.00,CHF 150.00,
Hotel Elite 24-Stunden-Self-Check-in,CHF 246.00,CHF 82.00,
Es können zwei Personen darin schlafen.,CHF 139.00,CHF 46.33,
1er Zimmer ruhig 5 Min. bis ÖV,CHF 201.00,CHF 67.00,
Gemütliche Unterkunft am ruhigen Stadtrand,CHF 336.00,CHF 112.00,
Studio-Apartment im Zentrum Rorschach,CHF 337.00,CHF 112.33,
Appenzellerhaus mit viel Charme am Fusse des Kaien,CHF 156.00,CHF 52.00,
Stilvolle Wohnung mit Balkon nahe Bodensee,CHF 469.00,CHF 156.33,
"Gelb, gelb, gelb, gelb!",CHF 616.00,CHF 205.33,
spezielle Wohnung in Goldach,CHF 297.00,CHF 99.00,
TouchBed | Superior-Studio,CHF 729.00,CHF 243.00,
Schöne 2 1/2 Zimmer Dachwohnung,CHF 483.00,CHF 161.00,
Premium Atmosphäre pur,CHF 1'343.00,CHF 447.67,
Bella Vista,CHF 483.00,CHF 161.00,
"Zwei helle Zimmer, Küche und Bad",CHF 294.00,CHF 98.00,
Charmante Wohnung mit Blick zum Säntis,CHF 681.00,CHF 227.00,
Casa Siddhartha - „H.Hesse“,CHF 165.00,CHF 55.00,
Ganze Wohnung mitten in der Altstadt von Arbon,CHF 283.00,CHF 94.33,
Ruhe für Musiker! B&B am Bodensee.,CHF 311.00,CHF 103.67,
Casa Siddhartha - „Hemingway“,CHF 148.00,CHF 49.33,
Gemütliches Apartment am Schloss,CHF 360.00,CHF 120.00,
Schönes Zimmer in der Nähe des Stadtzentrums,CHF 128.00,CHF 42.67,
,,,
30 Unterkünfte Airbnb 08.10-18.10 2026,,,
"St.Gallen zentral, ruhig, bei Badeweihern und Wald",CHF 1'036.00,CHF 103.60,
Das Haus mit dem Schwein,CHF 436.00,CHF 43.60,
Gemütliche Wohnung,CHF 779.00,CHF 77.90,
Studio im UG an ruhiger Lage,CHF 773.00,CHF 77.30,
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,CHF 773.00,CHF 77.30,
1 Zimmerwohnung ohne Küche mitten im Zentrum,CHF 743.00,CHF 74.30,
4 Zimmer mit Charme an bester Lage,CHF 1'306.00,CHF 130.60,
Zur Geduld (direkt am Bahnhof),CHF 706.00,CHF 70.60,
heimelige Wohnung in Goldach,CHF 674.00,CHF 67.40,
Studio mit Panoramaaussicht,CHF 600.00,CHF 60.00,
BLIV: Grosszügiges Altbaujuwel im Zentrum,CHF 3'421.00,CHF 342.10,
"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",CHF 842.00,CHF 84.20,
2. Modernes Apartment 2 Min vom Bahnhof,CHF 1'510.00,CHF 151.00,
Ferienwohnung Narnia,CHF 886.00,CHF 88.60,
Studio Wohnung St. Georgen,CHF 1'015.00,CHF 101.50,
Fühlen sie sich wie zu Hause,CHF 544.00,CHF 54.40,
Ganze Wohnung mitten in der Altstadt von Arbon,CHF 612.00,CHF 61.20,
Studio mit Charme und Aussicht,CHF 600.00,CHF 60.00,
1er Zimmer ruhig 5 Min. bis ÖV,CHF 602.00,CHF 60.20,
Historischer Charme in der Altstadt. Superior-DZ,CHF 1'242.00,CHF 124.20,
"2 Zimmer mit Balkon, Netflix und Mietfahrräder",CHF 1'046.00,CHF 104.60,
Studio in ruhigem Quartier/UG,CHF 985.00,CHF 98.50,
Mein Haus ihr Haus,CHF 501.00,CHF 50.10,
Bijoux Ferienwohnung auf Bauernhof im Wald,CHF 916.00,CHF 91.60,
Bella Vista,CHF 1'001.00,CHF 100.10,
"Stilvolles, historisches Doppelzimmer/ Altstadt",CHF 1'021.00,CHF 102.10,
gemütliches Zimmer mit Privatsphäre,CHF 428.00,CHF 42.80,
Idyllische Wohnung in der Natur,CHF 1'426.00,CHF 142.60,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
