Event;Name;Preis;PreisOhneDiscount;PreisMitDiscount;PreisAusgewählt;PreisProNacht
Openair;Urbanes Apartment in Bestlage;266 CHF;;;266 CHF;88.66666667
Openair;Studio im UG an ruhiger Lage;232 CHF;;; 232 CHF ;77.33333333
Openair;Schönes Zimmer in der Nähe von HSG;222 CHF;;; 222 CHF ;74
Openair;Gemütliche Wohnung;258 CHF;;; 258 CHF ;86
Openair;BLIV: Grosszügiges Altbaujuwel im Zentrum;1’030 CHF;;; 1’030 CHF ;343.3333333
Openair;Liebevolle kleine Wohnung in St. Gallen nähe Uni;315 CHF;;; 315 CHF ;105
Openair;Historischer Charme in der Altstadt. Superior-DZ;;429 CHF;395 CHF; 395 CHF ;131.6666667
Openair;St.Gallen zentral, ruhig, bei Badeweihern und Wald;399 CHF;;; 399 CHF ;133
Openair;St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;272 CHF;;; 272 CHF ;90.66666667
Openair;Das Haus mit dem Schwein;198 CHF;;; 198 CHF ;66
Openair;winzige Wohnung;293 CHF;;; 293 CHF ;97.66666667
Openair;4 Zimmer mit Charme an bester Lage;503 CHF;;; 503 CHF ;167.6666667
Openair;Zur Geduld (direkt am Bahnhof);280 CHF;;; 280 CHF ;93.33333333
Openair;Geräumige 2.5-Zimmer-Wohnung |Parkplatz | Stilvoll;;415 CHF;354 CHF; 354 CHF ;118
Openair;Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;301 CHF;;; 301 CHF ;100.3333333
Openair;gemütliche Dachwohnung;343 CHF;;; 343 CHF ;114.3333333
Openair;Nah an der Natur und ÖV vor der Tür (mit Ticket);232 CHF;;; 232 CHF ;77.33333333
Openair;Elegante 3 Zimmer Residenz;447 CHF;;; 447 CHF ;149
Openair;1er Zimmer ruhig 5 Min. bis ÖV;208 CHF;;; 208 CHF ;69.33333333
Openair;Komfortables Doppelzimmer – zentral;132 CHF;;; 132 CHF ;44
Openair;Fühlen sie sich wie zu Hause;178 CHF;;; 178 CHF ;59.33333333
Openair;Studio in ruhigem Quartier/UG;305 CHF;;; 305 CHF ;101.6666667
Openair;Historischer Charme in der Altstadt. Superior DZ;435 CHF;;; 435 CHF ;145
Openair;Modernes City-Studio | Einfacher Check-in |;;373 CHF;318 CHF; 318 CHF ;106
Openair;Schön möblierte Wohnung nähe HSG Uni und OLMA;429 CHF;;; 429 CHF ;143
Openair;Poliba St.Gallen-3 1/2 zimmer wohnung;184 CHF;;; 184 CHF ;61.33333333
Openair;Bella Vista;417 CHF;;; 417 CHF ;139
Openair;kleines ruhiges Dach-Zimmer;156 CHF;;; 156 CHF ;52
Openair;Zwei helle Zimmer, Küche und Bad;289 CHF;;; 289 CHF ;96.33333333
Openair;Idyllische Wohnung in der Natur;591 CHF;;; 591 CHF ;197
Olma;Möbliertes Studio mit Garten;686 CHF;;;686 CHF;68.6
Olma;Gemütliche Wohnung;;851 CHF;779 CHF;779 CHF;77.9
Olma;Das Haus mit dem Schwein;;628 CHF;436 CHF;436 CHF;43.6
Olma;heimelige Wohnung in Goldach;;730 CHF;674 CHF;674 CHF;67.4
Olma;Studio im UG an ruhiger Lage;773 CHF;;;773 CHF;77.3
Olma;St.Gallen zentral, ruhig, bei Badeweihern und Wald;;1’104 CHF;1’018 CHF;1’018 CHF;101.8
Olma;Charmante Wohnung auf dem Lande und doch zentral;;957 CHF;878 CHF;878 CHF;87.8
Olma;Studio mit Panoramaaussicht;;710 CHF;600 CHF;600 CHF;60
Olma;Ganze Wohnung mitten in der Altstadt von Arbon;;690 CHF;612 CHF;612 CHF;61.2
Olma;St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;;843 CHF;773 CHF;773 CHF;77.3
Olma;4 Zimmer mit Charme an bester Lage;1’306 CHF;;;1’306 CHF;130.6
Olma;Zur Geduld (direkt am Bahnhof);;884 CHF;706 CHF;706 CHF;70.6
Olma;2.5 Zimmer Dachwohnung mit Gartensitzplatz;1’078 CHF;;;1’078 CHF;107.8
Olma;Haus am Bodensee mit grossem Garten;;1’630 CHF;1’505 CHF;1’505 CHF;150.5
Olma;Schönes Zimmer in der Nähe von HSG;655 CHF;656 CHF;600 CHF;600 CHF;60
Olma;BLIV: Grosszügiges Altbaujuwel im Zentrum;3’421 CHF;;;3’421 CHF;342.1
Olma;Bella Vista;;1’212 CHF;1’008 CHF;1’008 CHF;100.8
Olma;1er Zimmer ruhig 5 Min. bis ÖV;;660 CHF;602 CHF;602 CHF;60.2
Olma;Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;842 CHF;;;842 CHF;84.2
Olma;Studio mit Charme und Aussicht;;710 CHF;600 CHF;600 CHF;60
Olma;Stilvolle Wohnung, historischer Charme/Altstadt;;2’479 CHF;2’271 CHF;2’271 CHF;227.1
Olma;2. Modernes Apartment 2 Min vom Bahnhof;;1’720 CHF;1’510 CHF;1’510 CHF;151
Olma;Studio in ruhigem Quartier/UG;985 CHF;;;985 CHF;98.5
Olma;Fühlen sie sich wie zu Hause;;602 CHF;551 CHF;551 CHF;55.1
Olma;Charmante und zentrale Wohnung am Weiherpark Arbon;;1’390 CHF;1’280 CHF;1’280 CHF;128
Olma;Bijoux Ferienwohnung auf Bauernhof im Wald;;1’047 CHF;916 CHF;916 CHF;91.6
Olma;1 Zimmerwohnung ohne Küche mitten im Zentrum;;809 CHF;743 CHF;743 CHF;74.3
Olma;Historischer Charme in der Altstadt. Superior-DZ;;1’346 CHF;1’175 CHF;1’175 CHF;117.5
