OpenAir SG;;;Olma;
Name;Preis pro Nacht;;Name;Preis pro Nacht
Cozy apartment in Goldach;CHF 124,33;;Cozy apartment in Goldach;CHF 101,80
Nice furnished apartment close to HSG University;CHF 61,00;;Cozy apartment;CHF 87,40
Furnished studio with garden;CHF 64,33;;4 rooms with charm in a prime location;CHF 132,90
Stylish apartment with balcony near Lake Constance;CHF 164,00;;St. Gallen central, quiet, by swimming ponds and forest;CHF 123,30
Double room in a single-family home near REHAB CLINIC with free Wi-Fi;CHF 69,00;;2 rooms with balcony, Netflix and rental bikes;CHF 106,90
Two bright rooms, kitchen and bathroom;CHF 115,33;;MiLu vacation home;CHF 141,80
Studio apartment in the center of Rorschach;CHF 115,00;;cozy attic apartment;CHF 102,30
Gästezimmer mit Dusche/WC;CHF 66,00;;Studio basement, quiet place;CHF 100,80
Modern attic apartment close HSG University & OLMA;CHF 192,33;;Bella Vista;CHF 120,20
Entire apartment right in the old town of Arbon old town;CHF 123,00;;2.5 rooms, modern, quiet and close to the center;CHF 139,60
Yellow, yellow, yellow, yellow!;CHF 208,00;;Bijoux apartment on farm in the forest;CHF 104,70
Special apartment in Goldach;CHF 124,33;;1 bedroom Apt., fully furnished, modern, central;CHF 104,70
Cozy accommodation on the quiet outskirts of town;CHF 114,33;;Core renovated apartment near train station and center;CHF 117,30
Bella Vista;CHF 159,67;;Charming apartment in the countryside and yet central;CHF 112,90
Bright apartment in Rorschacherberg on Lake Constance;CHF 90,33;;Studio Trailalps: near St. Gallen;CHF 79,70
Castle apartment;CHF 125,00;;1-room apartment without a kitchen right in the center;CHF 83,20
YELLOW INN 7 nähe Uni, Olma, Spital, FHS;CHF 277,00;;Global Citizen 7;CHF 132,30
Appenzell house with lots of charm at the foot of the Kaien;CHF 84,33;;Entire apartment right in the old town of Arbon old town;CHF 97,90
Cozy apartment by the castle;CHF 120,00;;Cozy apartment in Goldach;CHF 101,80
Two people can sleep.;CHF 60,00;;Cozy apartment;CHF 87,40
Central Studio | 5 min to the station;CHF 261,67;;4 rooms with charm in a prime location;CHF 132,90
Elegant 3 bedroom residence;CHF 198,33;;St. Gallen central, quiet, by swimming ponds and forest;CHF 123,30
House with garden, quiet, top view, (room 1);CHF 86,00;;2 rooms with balcony, Netflix and rental bikes;CHF 106,90
peaceful tiny house near forest;CHF 159,00;;MiLu vacation home;CHF 141,80
Beautiful 2 1/2 room attic apartment;CHF 190,67;;cozy attic apartment;CHF 102,30
Apartment Gertrud Schlössli cosy stylish central;CHF 167,67;;Studio basement, quiet place;CHF 100,80
"2 Kronberg"" quiet location";CHF 76,00;;Bella Vista;CHF 120,20
Guest room in the countryside;CHF 75,00;;2.5 rooms, modern, quiet and close to the center;CHF 139,60
Nani's Höckli in Appenzellerland;CHF 104,00;;Bijoux apartment on farm in the forest;CHF 104,70
TouchBed | Superior Studio;CHF 249,33;;1 bedroom Apt., fully furnished, modern, central;CHF 104,70
