Zeitraum,Name,Originalpreis_Total_CHF,Discountpreis_Total_CHF,Effektivpreis_pro_Nacht_CHF
OpenAir St.Gallen (25.06.2026 – 28.06.2026),"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",301,,100.33
OpenAir St.Gallen (25.06.2026 – 28.06.2026),Das Haus mit dem Schwein,198,,66.0
OpenAir St.Gallen (25.06.2026 – 28.06.2026),Elegante 3 Zimmer Residenz,655,,218.33
OpenAir St.Gallen (25.06.2026 – 28.06.2026),Stadtstudio,434,,144.67
OpenAir St.Gallen (25.06.2026 – 28.06.2026),"Attika 2,5 Zimmer möbliert Nähe HSG Universität",591,,197.0
OpenAir St.Gallen (25.06.2026 – 28.06.2026),heimelige Wohnung in Goldach,286,,95.33
OpenAir St.Gallen (25.06.2026 – 28.06.2026),kleines Juwel -mit Terrasse,450,,150.0
OpenAir St.Gallen (25.06.2026 – 28.06.2026),Es können zwei Personen darin schlafen.,139,,46.33
OpenAir St.Gallen (25.06.2026 – 28.06.2026),Hotel Elite 24-Stunden-Self-Check-in,246,,82.0
OpenAir St.Gallen (25.06.2026 – 28.06.2026),Gemütliche Unterkunft am ruhigen Stadtrand,337,,112.33
OpenAir St.Gallen (25.06.2026 – 28.06.2026),Studio-Apartment im Zentrum Rorschach,337,,112.33
OpenAir St.Gallen (25.06.2026 – 28.06.2026),"Gelb, gelb, gelb, gelb!",616,,205.33
OpenAir St.Gallen (25.06.2026 – 28.06.2026),Appenzellerhaus mit viel Charme am Fusse des Kaien,156,,52.0
OpenAir St.Gallen (25.06.2026 – 28.06.2026),Genieße den Seeblick von der Dachterrasse,738,,246.0
OpenAir St.Gallen (25.06.2026 – 28.06.2026),spezielle Wohnung in Goldach,297,,99.0
OpenAir St.Gallen (25.06.2026 – 28.06.2026),Charmante Wohnung mit Blick zum Säntis,681,,227.0
OpenAir St.Gallen (25.06.2026 – 28.06.2026),Casa Siddhartha - R. Musil,189,,63.0
OpenAir St.Gallen (25.06.2026 – 28.06.2026),TouchBed | Superior-Studio,729,,243.0
