OpenAir St.Gallen vom 25.06.2025 bis zum 28.06.2025;;;
#;Name;Preis für 3 Nächte;Preis pro Nacht
1;Zimmer in St. Gallen;CHF 301;CHF 100.33
2;Wohnung in Rorschach;CHF 700;CHF 233.33
3;Zimmer in Sankt Gallen;CHF 165;CHF 55.00
4;Zimmer in St. Gallen;CHF 198;CHF 66.00
5;Wohnung in Sankt Gallen;CHF 542;CHF 180.67
6;Eigentumswohnung in Arbon;CHF 450;CHF 150.00
7;Zimmer in St. Gallen;CHF 125;CHF 41.67
8;Wohnung in St. Gallen;CHF 428;CHF 142.67
9;Wohnung in St. Gallen;CHF 595;CHF 198.33
10;Unterkunft in St. Gallen;CHF 159;CHF 53.00
11;Unterkunft in St. Gallen;CHF 791;CHF 263.67
12;Wohnung in Goldach;CHF 286;CHF 95.33
13;Zimmer in St. Gallen;CHF 132;CHF 44.00
14;Tiny House in Rorschacherberg;CHF 477;CHF 159.00
15;Wohnung in Sankt Gallen;CHF 570;CHF 190.00
16;Hotel in St. Gallen;CHF 246;CHF 82.00
17;Zimmer in St. Gallen;CHF 139;CHF 46.33
18;Wohnung in Rorschach;CHF 417;CHF 139.00
19;Zimmer in Speicher;CHF 201;CHF 67.00
20;Zimmer in St. Gallen;CHF 337;CHF 112.33
21;Wohnung in Rorschach;CHF 337;CHF 112.33
22;Zimmer in St. Gallen;CHF 403;CHF 134.33
23;Wohnung in St. Gallen;CHF 588;CHF 196.00
24;Unterkunft in St. Gallen;CHF 779;CHF 259.67
25;Zimmer in Sankt Gallen;CHF 148;CHF 49.33
26;Gästehaus in Wittenbach;CHF 132;CHF 44.00
27;Zimmer in Rehetobel;CHF 156;CHF 52.00
28;Wohnung in St. Gallen;CHF 478;CHF 159.33
29;Wohnung in St. Gallen;CHF 717;CHF 239.00
30;Zimmer in Zihlschlacht-Sitterdorf;CHF 155;CHF 51.67
;;;
;;;
;;;
;;;
OLMA vom 08.10.2026 bis zum 18.10.2026;;;
#;Name;Preis für 10 Nächte;Preis pro Nacht
1;Wohnung in St. Gallen;CHF 1’038;CHF 104
2;Wohnung in St. Gallen;CHF 779;CHF 78
3;Wohnung in St. Gallen;CHF 773;CHF 77
4;Zimmer in St. Gallen;CHF 436;CHF 44
5;Wohnung in St. Gallen;CHF 796;CHF 80
6;Privatunterkunft in St. Gallen;CHF 2’160;CHF 216
7;Zimmer in St Gallen;CHF 773;CHF 77
8;Zimmer in St. Gallen;CHF 501;CHF 50
9;Zimmer in St. Gallen;CHF 600;CHF 60
10;Wohnung in St. Gallen;CHF 743;CHF 74
11;Wohnung in St. Gallen;CHF 706;CHF 71
12;Zimmer in Sankt Gallen;CHF 429;CHF 43
13;Wohnung in St. Gallen;CHF 600;CHF 60
14;Wohnung in Goldach;CHF 674;CHF 67
15;Wohnung in Rorschach;CHF 2’320;CHF 232
16;Wohnung in St. Gallen;CHF 1’306;CHF 131
17;Eigentumswohnung in Arbon;CHF 1’418;CHF 142
18;Wohnung in Waldkirch;CHF 878;CHF 88
19;Wohnung in St. Gallen;CHF 600;CHF 60
20;Zimmer in St. Gallen;CHF 842;CHF 84
21;Wohnung in Arbon;CHF 612;CHF 61
22;Wohnung in St. Gallen;CHF 3’421;CHF 342
23;Zimmer in St. Gallen;CHF 544;CHF 54
24;Wohnung in St. Gallen;CHF 985;CHF 99
25;Loft in Wittenbach;CHF 916;CHF 92
26;Zimmer in Herisau;CHF 428;CHF 43
27;Wohnung in Sankt Gallen;CHF 1’510;CHF 151
28;Wohnung in Speicherschwendi;CHF 657;CHF 66
29;Eigentumswohnung in Gaiserwald;CHF 1’078;CHF 108
30;Wohnung in St. Gallen;CHF 1’046;CHF 105
