OpenAir SG;;;;;;;
Unterkunft Name;;;;Min;Pro Nacht (CHF);;
Möblierte stilvolle Wohnung nähe HSG Universität;557.00;;;557.00;185.67;;
gemütliches Studio im EG, im Appenzellerland;266.00;;;266.00;88.67;;
Happystay Zentrum Busticket 4free;;392.00;325.00;325.00;108.33;;
heimelige Wohnung in Goldach;373.00;;;373.00;124.33;;
Möbliertes Studio mit Garten;579.00;;;579.00;193.00;;
Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum;717.00;;;717.00;239.00;;
Attika 2,5 Zimmer möbliert Nähe HSG Universität;578.00;;;578.00;192.67;;
Birkenhof, Haus Schwänli;617.00;;;617.00;205.67;;
Gemütliche Unterkunft am ruhigen Stadtrand;343.00;;;343.00;114.33;;
TouchBed | Superior-Studio;748.00;;;748.00;249.33;;
Schöne 2 1/2 Zimmer Dachwohnung;570.00;;;570.00;190.00;;
spezielle Wohnung in Goldach;373.00;;;373.00;124.33;;
Feriengenuss im Appenzellerland;513.00;;;513.00;171.00;;
Charmantes Chalet im Grünen;577.00;;;577.00;192.33;;
Bungalow mit Traumaussicht LOMA BUENA VISTA;427.00;;;427.00;142.33;;
Zentrales Studio | 5 Min. zum Bahnhof;798.00;;;798.00;266.00;;
Bella Vista;464.00;;;464.00;154.67;;
1 Zi-Studio zentral, ruhig im Gertrud Schlössli;;503.00;457.00;457.00;152.33;;
Studio in Altstätten;358.00;;;358.00;119.33;;
Zwei helle Zimmer, Küche und Bad;346.00;;;346.00;115.33;;
Ferienhaus „Alpstein Chalet“;496.00;;;496.00;165.33;;
Elegante 3 Zimmer Residenz;569.00;;;569.00;189.67;;
Ganze Wohnung mitten in der Altstadt von Arbon;369.00;;;369.00;123.00;;
Haus mit Garten, ruhig, Top Aussicht, (Zimmer 1);258.00;;;258.00;86.00;;
Herisau, Zuhause mittendrin und trotzdem ruhig;339.00;;;339.00;113.00;;
Histor. grossbürgerl. Wohnhaus, ruhige Lage;304.00;;;304.00;101.33;;
charmante Maisonette-Wohnung;294.00;;;294.00;98.00;;
Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!;1064.00;;;1064.00;354.67;;
Schlossapartament;;375.00;330.00;330.00;110.00;;
Casa Siddhartha - „H.Hesse“;224.00;;;224.00;74.67;;
;;;;;;;
;;;;;158.14;Durchschnitt;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
OLMA;;;;;;;
;;;;;;;
Unterkunft Name;;;;Min;Pro Nacht (CHF);;
Gemütliche Wohnung;874.00;802.00;;802.00;80.20;;
4 Zimmer mit Charme an bester Lage;;;1329.00;1329.00;132.90;;
2.5 Zimmer Dachwohnung mit Gartensitzplatz;;;1193.00;1193.00;119.30;;
gemütliche Dachwohnung;1032.00;948.00;;948.00;94.80;;
Studio in ruhigem Quartier/UG;;;1008.00;1008.00;100.80;;
St.Gallen zentral, ruhig, bei Badeweihern und Wald;1242.00;1157.00;;1157.00;115.70;;
gemütliches Studio im EG, im Appenzellerland;;;658.00;658.00;65.80;;
Dein Zuhause in Herisau;;;1044.00;1044.00;104.40;;
2.5 Zimmer, modern, ruhig und zentrumsnah;;;1396.00;1396.00;139.60;;
2 Zimmer mit Balkon, Netflix und Mietfahrräder;;;1069.00;1069.00;106.90;;
Kernsanierte Wohnung nähe Bahnhof und Zentrum;;;1173.00;1173.00;117.30;;
Birkenhof, Haus Schwänli;1686.00;1551.00;;1551.00;155.10;;
BLIV: Grosszügiges Altbaujuwel im Zentrum;;;3444.00;3444.00;344.40;;
Bijoux Ferienwohnung auf Bauernhof im Wald;1047.00;916.00;;916.00;91.60;;
Stilvolle Wohnung, historischer Charme/Altstadt;2525.00;2317.00;;2317.00;231.70;;
Idyllisches Appenzeller Ferienhaus mit Garten;;;1264.00;1264.00;126.40;;
Zur Geduld (direkt am Bahnhof);1022.00;845.00;;845.00;84.50;;
1-Zimmer-Wohnung, voll möbliert, modern, zentral;;;1047.00;1047.00;104.70;;
heimelige Wohnung in Goldach;1018.00;962.00;;962.00;96.20;;
Gemütliche kleine 1-Zimmer-Wohnung in Heiden;757.00;667.00;;667.00;66.70;;
Bella Vista;1212.00;1008.00;;1008.00;100.80;;
Haus am Bodensee mit grossem Garten;1630.00;1505.00;;1505.00;150.50;;
Weltbürger:in 7;1323.00;1228.00;;1228.00;122.80;;
Happystay Zentrum Busticket 4free;1274.00;1055.00;;1055.00;105.50;;
Charmante Wohnung auf dem Lande und doch zentral;1129.00;1050.00;;1050.00;105.00;;
Ferien auf dem Billenberghof;1658.00;1509.00;;1509.00;150.90;;
Modernes Apartment mit Balkon & Parkplatz/Nähe See;;;2036.00;2036.00;203.60;;
TouchBed | Budget Zwei-Bett-Zimmer;;;1077.00;1077.00;107.70;;
1 Zimmerwohnung ohne Küche mitten im Zentrum;832.00;766.00;;766.00;76.60;;
Stilvolles, historisches Doppelzimmer/ Altstadt;1144.00;1051.00;;1051.00;105.10;;
;;;;;;;
;;;;;123.58;Durchschnitt;
;;;;;;;
;;;;;;;
;;;;;;;
