Nr,zeitraum,name,gesamtpreis,Preis / Nacht
1,OpenAir St.Gallen,"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",CHF 301.00,CHF 100.33
2,OpenAir St.Gallen,Das Haus mit dem Schwein,CHF 198.00,CHF 66.00
3,OpenAir St.Gallen,"Attika 2,5 Zimmer möbliert Nähe HSG Universität",CHF 587.00,CHF 195.67
4,OpenAir St.Gallen,Elegante 3 Zimmer Residenz,CHF 750.00,CHF 250.00
5,OpenAir St.Gallen,Hotel Elite 24-Stunden-Self-Check-in,CHF 246.00,CHF 82.00
6,OpenAir St.Gallen,Stadtstudio,CHF 465.00,CHF 155.00
7,OpenAir St.Gallen,Historischer Charme in der Altstadt. Superior DZ,CHF 304.00,CHF 101.33
8,OpenAir St.Gallen,Liebevolle kleine Wohnung in St. Gallen nähe Uni,CHF 216.00,CHF 72.00
9,OpenAir St.Gallen,Engelburg Zuhause mit Aussicht,CHF 149.00,CHF 49.67
10,OpenAir St.Gallen,St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,CHF 202.00,CHF 67.33
11,OpenAir St.Gallen,Schönes Zimmer in der Nähe von HSG,CHF 222.00,CHF 74.00
12,OpenAir St.Gallen,Felix' Global Citizen „Ein Original-Airbnb“,CHF 140.00,CHF 46.67
13,OpenAir St.Gallen,Es können zwei Personen darin schlafen.,CHF 139.00,CHF 46.33
14,OpenAir St.Gallen,heimelige Wohnung in Goldach,CHF 286.00,CHF 95.33
15,OpenAir St.Gallen,kleines Juwel -mit Terrasse,CHF 450.00,CHF 150.00
16,OpenAir St.Gallen,Grosszügige Garten-Wohnung,CHF 639.00,CHF 213.00
17,OpenAir St.Gallen,TouchBed | Superior-Studio,CHF 692.00,CHF 230.67
18,OpenAir St.Gallen,Gemütliche Unterkunft am ruhigen Stadtrand,CHF 336.00,CHF 112.00
19,OpenAir St.Gallen,"Klara 1022 - Olma, Spital, Universität St. Gallen",CHF 496.00,CHF 165.33
20,OpenAir St.Gallen,spezielle Wohnung in Goldach,CHF 297.00,CHF 99.00
21,OpenAir St.Gallen,Modernes Studio nahe Bodensee | Ruhig & zentral,CHF 245.00,CHF 81.67
22,OpenAir St.Gallen,"Klara 1034- Olma, Spital, Universität St. Gallen",CHF 12.00,CHF 4.00
23,OpenAir St.Gallen,"Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!",CHF 828.00,CHF 276.00
24,OpenAir St.Gallen,1er Zimmer ruhig 5 Min. bis ÖV,CHF 201.00,CHF 67.00
25,OpenAir St.Gallen,Schönes Zimmer in der Nähe des Stadtzentrums,CHF 128.00,CHF 42.67
26,OpenAir St.Gallen,Helle Wohnung in Rorschacherberg am Bodensee,CHF 271.00,CHF 90.33
27,OpenAir St.Gallen,Bella Vista,CHF 476.00,CHF 158.67
28,OpenAir St.Gallen,"Gelb, gelb, gelb, gelb!",CHF 616.00,CHF 205.33
29,OpenAir St.Gallen,Appenzellerhaus mit viel Charme am Fusse des Kaien,CHF 156.00,CHF 52.00
30,OpenAir St.Gallen,Die gesamte MIND the GAP Villa,CHF 83.00,CHF 27.67
31,OpenAir St.Gallen,Genieße den Seeblick von der Dachterrasse,CHF 746.00,CHF 248.67
32,OpenAir St.Gallen,"Haus mit Garten, ruhig, Top Aussicht, (Zimmer 1)",CHF 258.00,CHF 86.00
33,OpenAir St.Gallen,"Herzige Dachwohnung in St. Georgen, St. Gallen",CHF 422.00,CHF 140.67
