event;listing_title;listing_subtitle;price_main;price_noDiscount;price_discount;effective_price;price_per_night
OpenAir;Zimmer in St. Gallen;Das Haus mit dem Schwein;198 CHF;;;198 CHF;66
OpenAir;Zimmer in St. Gallen;Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;301 CHF;;;301 CHF;100.33
OpenAir;Wohnung in St. Gallen;Elegante 3 Zimmer Residenz;657 CHF;;;657 CHF;219
OpenAir;Wohnung in Rorschach;kleines Juwel -mit Terrasse;;450 CHF;487 CHF;487 CHF;162.33
OpenAir;Wohnung in St. Gallen;Stadtstudio;432 CHF;;;432 CHF;144
OpenAir;Wohnung in Sankt Gallen;Attika 2,5 Zimmer möbliert Nähe HSG Universität;584 CHF;;;584 CHF;194.67
OpenAir;Unterkunft in St. Gallen;Historischer Charme in der Altstadt. Superior-DZ;316 CHF;;;316 CHF;105.33
OpenAir;Zimmer in St. Gallen;Schönes Zimmer in der Nähe von HSG;222 CHF;;;222 CHF;74
OpenAir;Zimmer in Engelburg;Engelburg Zuhause mit Aussicht;154 CHF;;;154 CHF;51.33
OpenAir;Wohnung in St. Gallen;Liebevolle kleine Wohnung in St. Gallen nähe Uni;216 CHF;;;216 CHF;72
OpenAir;Wohnung in St. Gallen;Moderne 80m²-Wohnung, Balkon & gratis Parkplatz;599 CHF;;;599 CHF;199.67
OpenAir;Zimmer in Waldkirch;Ruhiges Zimmer in ländlicher Umgebung nahe SG;127 CHF;;;127 CHF;42.33
OpenAir;Wohnung in Goldach;heimelige Wohnung in Goldach;286 CHF;;;286 CHF;95.33
OpenAir;Zimmer in St. Gallen;Es können zwei Personen darin schlafen.;139 CHF;;;139 CHF;46.33
OpenAir;Hotel in St. Gallen;Hotel Elite 24-Stunden-Self-Check-in;246 CHF;;;246 CHF;82
OpenAir;Eigentumswohnung in Rorschach;Genieße den Seeblick von der Dachterrasse;739 CHF;;;739 CHF;246.33
OpenAir;Zimmer in St. Gallen;Gemütliche Unterkunft am ruhigen Stadtrand;336 CHF;;;336 CHF;112
OpenAir;Wohnung in St. Gallen;Premium Atmosphäre pur;1’343 CHF;;;1’343 CHF;447.67
OpenAir;Eigentumswohnung in Rorschach;Gelb, gelb, gelb, gelb!;616 CHF;;;616 CHF;205.33
OpenAir;Wohnung in Goldach;spezielle Wohnung in Goldach;297 CHF;;;297 CHF;99
OpenAir;Wohnung in Herisau;Charmante Wohnung mit Blick zum Säntis;692 CHF;;;692 CHF;230.67
OpenAir;Wohnung in Rorschach;Studio-Apartment im Zentrum Rorschach;337 CHF;;;337 CHF;112.33
OpenAir;Wohnung in St. Gallen;Schöne 2 1/2 Zimmer Dachwohnung;495 CHF;;;495 CHF;165
OpenAir;Zimmer in Sankt Gallen;Casa Siddhartha - R. Musil;189 CHF;;;189 CHF;63
OpenAir;Wohnung in St. Gallen;TouchBed | Superior-Studio;729 CHF;;;729 CHF;243
OpenAir;Wohnung in Tübach;Bella Vista;480 CHF;;;480 CHF;160
OpenAir;Gästehaus in Bischofszell;Auszeit an der Sitter (Hunde erlaubt);444 CHF;;;444 CHF;148
OpenAir;Zimmer in Rehetobel;Appenzellerhaus mit viel Charme am Fusse des Kaien;156 CHF;;;156 CHF;52
OpenAir;Wohnung in St. Gallen;Klara 1022 - Olma, Spital, Universität St. Gallen;1’925 CHF;;;1’925 CHF;641.67
OpenAir;Zimmer in Heiden;Zwei helle Zimmer, Küche und Bad;294 CHF;;;294 CHF;98
OpenAir;Wohnung in St. Gallen;Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!;1’076 CHF;;;1’076 CHF;358.67
OpenAir;Zimmer in Eggersriet;Haus mit Garten, ruhig, Top Aussicht, (Zimmer 1);258 CHF;;;258 CHF;86
OpenAir;Zimmer in St. Gallen;Schönes Zimmer in der Nähe des Stadtzentrums;128 CHF;;;128 CHF;42.67
OpenAir;Wohnung in St. Gallen;Klara 1034- Olma, Spital, Universität St. Gallen;1’344 CHF;;;1’344 CHF;448
OpenAir;Wohnung in Arbon;Ganze Wohnung mitten in der Altstadt von Arbon;283 CHF;;;283 CHF;94.33
OpenAir;Wohnung in St. Gallen;1 Zi-Studio zentral, ruhig im Gertrud Schlössli;;451 CHF;497 CHF;497 CHF;165.67
OpenAir;Zimmer in Sankt Gallen;Casa Siddhartha - „H.Hesse“;165 CHF;;;165 CHF;55
OpenAir;Zimmer in Speicher;1er Zimmer ruhig 5 Min. bis ÖV;201 CHF;;;201 CHF;67
OpenAir;Wohnung in St. Gallen;BLIV: Exklusive Dachgeschosswohnung im Zentrum;1’961 CHF;;;1’961 CHF;653.67
OpenAir;Zimmer in Sankt Gallen;Casa Siddhartha - „Hemingway“;148 CHF;;;148 CHF;49.33
OpenAir;Wohnung in Goldach;Modernes Studio nahe Bodensee | Ruhig & zentral;245 CHF;;;245 CHF;81.67
