category,name,original_price,discounted_price,price_per_night
Openair (25.06.2026 - 28.06.2026),"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",301 CHF,,301
Openair (25.06.2026 - 28.06.2026),Das Haus mit dem Schwein,198 CHF,,198
Openair (25.06.2026 - 28.06.2026),Elegante 3 Zimmer Residenz,747 CHF,,747
Openair (25.06.2026 - 28.06.2026),"Attika 2,5 Zimmer möbliert Nähe HSG Universität",561 CHF,,561
Openair (25.06.2026 - 28.06.2026),Stadtstudio,465 CHF,,465
Openair (25.06.2026 - 28.06.2026),heimelige Wohnung in Goldach,286 CHF,,286
Openair (25.06.2026 - 28.06.2026),Schönes Zimmer in der Nähe von HSG,222 CHF,,222
Openair (25.06.2026 - 28.06.2026),Historischer Charme in der Altstadt. Superior-DZ,315 CHF,,315
Openair (25.06.2026 - 28.06.2026),Engelburg Zuhause mit Aussicht,150 CHF,,150
Openair (25.06.2026 - 28.06.2026),Liebevolle kleine Wohnung in St. Gallen nähe Uni,216 CHF,,216
Openair (25.06.2026 - 28.06.2026),St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,200 CHF,,200
Openair (25.06.2026 - 28.06.2026),Charmante Wohnung auf dem Lande und doch zentral,231 CHF,,231
Openair (25.06.2026 - 28.06.2026),Es können zwei Personen darin schlafen.,139 CHF,,139
Openair (25.06.2026 - 28.06.2026),Hotel Elite 24-Stunden-Self-Check-in,246 CHF,,246
Openair (25.06.2026 - 28.06.2026),Grosszügige Garten-Wohnung,639 CHF,,639
Openair (25.06.2026 - 28.06.2026),Die gesamte MIND the GAP Villa,2’083 CHF,,2083
Openair (25.06.2026 - 28.06.2026),kleines Juwel -mit Terrasse,487 CHF,450 CHF,150
Openair (25.06.2026 - 28.06.2026),Gemütliche Unterkunft am ruhigen Stadtrand,336 CHF,,336
Openair (25.06.2026 - 28.06.2026),Genieße den Seeblick von der Dachterrasse,746 CHF,,746
Openair (25.06.2026 - 28.06.2026),spezielle Wohnung in Goldach,297 CHF,,297
Openair (25.06.2026 - 28.06.2026),"Klara 1022 - Olma, Spital, Universität St. Gallen",1’674 CHF,1’483 CHF,494.33
Openair (25.06.2026 - 28.06.2026),Bella Vista,465 CHF,,465
Openair (25.06.2026 - 28.06.2026),1er Zimmer ruhig 5 Min. bis ÖV,201 CHF,,201
Openair (25.06.2026 - 28.06.2026),Premium Atmosphäre pur,1’343 CHF,,1343
Openair (25.06.2026 - 28.06.2026),"Zwei helle Zimmer, Küche und Bad",294 CHF,,294
Openair (25.06.2026 - 28.06.2026),BLIV: Exklusive Dachgeschosswohnung im Zentrum,1’449 CHF,,1449
Openair (25.06.2026 - 28.06.2026),"Gelb, gelb, gelb, gelb!",616 CHF,,616
Openair (25.06.2026 - 28.06.2026),"Klara 1034- Olma, Spital, Universität St. Gallen",1’006 CHF,,1006
Openair (25.06.2026 - 28.06.2026),Appenzellerhaus mit viel Charme am Fusse des Kaien,156 CHF,,156
Openair (25.06.2026 - 28.06.2026),Stadtwohnung mit Küche & gratis Parkplatz,1’001 CHF,,1001
Openair (25.06.2026 - 28.06.2026),"Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!",826 CHF,,826
Openair (25.06.2026 - 28.06.2026),Studio-Apartment im Zentrum Rorschach,337 CHF,,337
Openair (25.06.2026 - 28.06.2026),Schöne 2 1/2 Zimmer Dachwohnung,491 CHF,,491
Openair (25.06.2026 - 28.06.2026),"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",641 CHF,,641
Openair (25.06.2026 - 28.06.2026),Modernes Studio nahe Bodensee | Ruhig & zentral,245 CHF,,245
Openair (25.06.2026 - 28.06.2026),Schönes Zimmer in der Nähe des Stadtzentrums,128 CHF,,128
Openair (25.06.2026 - 28.06.2026),Ganze Wohnung mitten in der Altstadt von Arbon,283 CHF,,283
Openair (25.06.2026 - 28.06.2026),Gemütliches Apartment am Schloss,360 CHF,,360
Openair (25.06.2026 - 28.06.2026),Casa Siddhartha - R. Musil,189 CHF,,189
Openair (25.06.2026 - 28.06.2026),Charmante Wohnung mit Blick zum Säntis,692 CHF,,692
Openair (25.06.2026 - 28.06.2026),Schlossapartament,375 CHF,330 CHF,110
Openair (25.06.2026 - 28.06.2026),Ruhiger Ort auf dem Dorfhügel.,169 CHF,139 CHF,46.33
Openair (25.06.2026 - 28.06.2026),"Herzige Dachwohnung in St. Georgen, St. Gallen",422 CHF,,422
Openair (25.06.2026 - 28.06.2026),Casa Siddhartha - „Hemingway“,148 CHF,,148
Openair (25.06.2026 - 28.06.2026),"1 Zi-Studio zentral, ruhig im Gertrud Schlössli",494 CHF,449 CHF,149.67
Openair (25.06.2026 - 28.06.2026),Gästezimmer im Grünen,225 CHF,,225
Openair (25.06.2026 - 28.06.2026),"Haus mit Garten, ruhig, Top Aussicht, (Zimmer 1)",258 CHF,,258
Openair (25.06.2026 - 28.06.2026),Casa Siddhartha - „H.Hesse“,165 CHF,,165
Openair (25.06.2026 - 28.06.2026),"BLIV: Design-Apartment mit Parkplatz, nahe Zentrum",1’664 CHF,,1664
Openair (25.06.2026 - 28.06.2026),Moderne Wohnung nahe Messe und Zentrum,1’115 CHF,,1115
Openair (25.06.2026 - 28.06.2026),Ruhe für Musiker! B&B am Bodensee.,307 CHF,,307
Openair (25.06.2026 - 28.06.2026),"Klara 0002 - Olma, Spital, Universität St. Gallen",928 CHF,,928
Openair (25.06.2026 - 28.06.2026),Ruhiges Tiny House in der Nähe des Waldes,475 CHF,,475
Openair (25.06.2026 - 28.06.2026),Maisonette am Bodensee | Parkplatz | Hoher Komfort,1’111 CHF,,1111
Openair (25.06.2026 - 28.06.2026),"Ruhig, Gratis Parkplatz, Balkon & im 1. Stockwerk",914 CHF,,914
Openair (25.06.2026 - 28.06.2026),Ruhiger Ort auf dem Dorfhügel Wittenbach,115 CHF,,115
Openair (25.06.2026 - 28.06.2026),Gemütliche Souterrainwohnung mit gratis Parkplatz,663 CHF,,663
Openair (25.06.2026 - 28.06.2026),Säntiszimmer,132 CHF,,132
Openair (25.06.2026 - 28.06.2026),"YELLOW INN B 28 nähe Uni, Olma, Spital, FHS",641 CHF,,641
Openair (25.06.2026 - 28.06.2026),Swissyurte (Rundhaus) Natur pur Ideal für 2 Pers.,230 CHF,,230
Openair (25.06.2026 - 28.06.2026),Ruhige Lage am Bodensee,700 CHF,,700
Openair (25.06.2026 - 28.06.2026),Penthouse-Wohnung mit 250 m² Terrasse,909 CHF,,909
Openair (25.06.2026 - 28.06.2026),TouchBed | Business Apartment Top Floor,731 CHF,,731
Openair (25.06.2026 - 28.06.2026),TouchBed | Loft mit Loggia und Whirlpool,1’527 CHF,,1527
Openair (25.06.2026 - 28.06.2026),Zimmer an der Fahrradroute am Bodensee,260 CHF,225 CHF,75
Openair (25.06.2026 - 28.06.2026),Wellnessoase,888 CHF,,888
Openair (25.06.2026 - 28.06.2026),Appenzeller Hausteil mit Garten,449 CHF,,449
Openair (25.06.2026 - 28.06.2026),"Klara 1014 – Olma, Spital, Uni St. Gallen",1’022 CHF,,1022
Openair (25.06.2026 - 28.06.2026),"Klara 1033 - Olma, Spital, Universität St. Gallen",963 CHF,,963
Openair (25.06.2026 - 28.06.2026),Vintage Rustica 31 zur Olma 1 Min.,702 CHF,,702
Openair (25.06.2026 - 28.06.2026),Haus MiLu Ferienwohnung,450 CHF,,450
