listing_name,price_per_night
Wohnung in St. Gallen,85.1
Wohnung in St. Gallen,88.4
Wohnung in St. Gallen,97.0
Zimmer in St. Gallen,110.7
Zimmer in St. Gallen,62.8
Wohnung in Goldach,82.4
Zimmer in St. Gallen,58.6
Wohnung in St. Gallen,110.8
Wohnung in St. Gallen,130.6
Wohnung in Tübach,121.4
Zimmer in St Gallen,84.3
Wohnung in Speicherschwendi,154.7
Wohnung in Speicherschwendi,79.7
Eigentumswohnung in Rorschach,174.0
Wohnung in St. Gallen,71.0
Wohnung in Sankt Gallen,172.0
Wohnung in St. Gallen,104.6
Wohnung in St. Gallen,342.1
Wohnung in St. Gallen,203.4
Wohnung in St. Gallen,214.3
Wohnung in St. Gallen,80.9
Wohnung in Rorschacherberg,79.7
Zimmer in St. Gallen,141.2
Wohnung in St. Gallen,71.0
Wohnung in St. Gallen,98.0
Wohnung in St. Gallen,201.3
Wohnung in St. Gallen,118.5
Zimmer in St. Gallen,43.2
Wohnung in St. Gallen,154.3
Wohnung in St. Gallen,285.5
Wohnung in Arbon,69.0
Wohnung in St. Gallen,137.3
Zimmer in St. Gallen,87.8
Wohnung in Rorschach,169.2
Loft in Wittenbach,104.7
Zimmer in Wittenbach,43.8
Zimmer in St. Gallen,75.0
Zimmer in St. Gallen,54.7
Wohnung in St. Gallen,115.0
Eigentumswohnung in Gaiserwald,107.8
Privatunterkunft in Rorschach,573.3
Wohnung in Goldach,75.5
Wohnung in St. Gallen,123.7
Wohnung in St. Gallen,247.4
Zimmer in St. Gallen,97.4
Wohnung in St. Gallen,101.9
Zimmer in St. Gallen,119.5
Zimmer in St. Gallen,84.2
Wohnung in St. Gallen,401.1
Wohnung in Goldach,74.8
Wohnung in Sankt Gallen,172.0
Wohnung in Heiden,84.0
Privatunterkunft in St. Gallen,236.6
Wohnung in St. Gallen,264.9
Wohnung in St. Gallen,135.7
Wohnung in St. Gallen,307.0
Zimmer in St. Gallen,46.1
Privatunterkunft in Goldach,163.0
Wohnung in St. Gallen,245.2
Wohnung in St. Gallen,190.3
Wohnung in St. Gallen,106.1
Wohnung in St. Gallen,163.8
Wohnung in Arbon,75.1
Zimmer in St. Gallen,89.7
Wohnung in St. Gallen,256.2
Wohnung in Rorschach,291.9
Wohnung in St. Gallen,306.2
Wohnung in Rorschach,102.0
Wohnung in St. Gallen,206.7
Eigentumswohnung in Rehetobel,98.7
Zimmer in Herisau,42.8
Wohnung in St. Gallen,147.2
Privatunterkunft in St. Gallen,581.0
Wohnung in St. Gallen,179.7
Wohnung in Gossau,156.3
Privatunterkunft in Wald,117.7
Wohnung in Arbon,139.0
Wohnung in St. Gallen,161.9
Wohnung in St. Gallen,187.8
Privatunterkunft in Winden,274.4
Zimmer in Sankt Gallen,48.7
Wohnung in Herisau,194.9
Wohnung in Rorschach,277.2
Wohnung in St. Gallen,163.5
Wohnung in St. Gallen,147.2
Wohnung in St. Gallen,256.2
Zimmer in St. Gallen,119.7
Wohnung in Rorschach,254.7
Zimmer in St. Gallen,197.6
Zimmer in Sankt Gallen,56.6
Zimmer in St. Gallen,116.3
Wohnung in Andwil,96.8
Wohnung in St. Gallen,283.0
Wohnung in St. Gallen,192.5
Wohnung in Rorschach,199.2
Zimmer in St. Gallen,110.3
Eigentumswohnung in Rorschach,159.6
Wohnung in St. Gallen,180.3
Privatunterkunft in Speicher,417.4
Gemeinsames Zimmer in St. Gallen,42.7
