listing_name,price_per_night
Gästehaus in St. Gallen,160.0
Eigentumswohnung in Rorschach,213.0
Wohnung in Rorschacherberg,90.33
Zimmer in Wittenbach,44.0
Wohnung in St. Gallen,230.67
Wohnung in St. Gallen,481.0
Zimmer in St. Gallen,43.33
Zimmer in Sankt Gallen,46.67
Wohnung in Waldkirch,77.0
Zimmer in St. Gallen,105.0
Zimmer in St. Gallen,99.0
Wohnung in Tübach,157.33
Wohnung in Sankt Gallen,188.0
Zimmer in St. Gallen,46.33
Wohnung in Goldach,95.33
Zimmer in St. Gallen,100.33
Wohnung in St. Gallen,269.67
Zimmer in St. Gallen,82.0
Wohnung in Rorschach,239.67
Wohnung in St. Gallen,473.0
Wohnung in St. Gallen,271.0
Wohnung in St. Gallen,141.0
Wohnung in St. Gallen,222.67
Zimmer in Gossau,109.0
Zimmer in Rehetobel,52.0
Privatunterkunft in Rorschach,694.33
Privatunterkunft in Winden,296.0
Wohnung in Rorschach,396.67
Wohnung in Goldach,81.67
Zimmer in St. Gallen,42.67
Wohnung in St. Gallen,332.67
Wohnung in Rorschach,162.33
Zimmer in Arbon,76.0
Privatunterkunft in Rorschacherberg,253.33
Wohnung in St. Gallen,300.0
Wohnung in Andwil,114.33
Zimmer in Speicher,67.0
Zimmer in Wittenbach,57.67
Wohnung in Goldach,99.0
Wohnung in St. Gallen,457.67
Zimmer in St. Gallen,112.0
Wohnung in St. Gallen,158.0
Zimmer in St. Gallen,221.67
Wohnung in St. Gallen,140.67
Wohnung in St. Gallen,148.0
Wohnung in St. Gallen,506.33
Wohnung in Arbon,94.33
Wohnung in Arbon,120.0
Eigentumswohnung in Rorschach,205.33
Wohnung in Arbon,125.0
Wohnung in St. Gallen,547.0
Eigentumswohnung in Rorschach,248.67
Zimmer in St. Gallen,221.67
Zimmer in Heiden,98.0
Wohnung in St. Gallen,457.67
Wohnung in Arbon,160.67
Eigentumswohnung in St. Gallen,366.67
Zimmer in Teufen,75.0
Wohnung in St. Gallen,304.33
Zimmer in Sankt Gallen,63.0
Wohnung in Rorschach,112.33
Tiny House in Rorschacherberg,158.33
Wohnung in St. Gallen,447.67
Zimmer in Sankt Gallen,49.33
Zimmer in St. Gallen,265.33
Wohnung in St. Gallen,509.0
Zimmer in Eggersriet,86.0
Wohnung in St. Gallen,233.67
Eigentumswohnung in St. Gallen,366.67
Blockhütte in Bischofszell,119.33
Wohnung in St. Gallen,317.33
Wohnung in Rorschach,233.33
Zimmer in Wittenbach,38.33
Privatunterkunft in Eggersriet,149.67
Zimmer in St. Gallen,134.33
Wohnung in Herisau,269.0
Wohnung in St. Gallen,357.0
Wohnung in Rorschach,363.33
Zimmer in Speicher,132.67
Gemeinsames Zimmer in St. Gallen,63.33
Zimmer in Rorschacherberg,88.33
Wohnung in St. Gallen,336.67
Zimmer in Eggersriet,86.0
Gästehaus in Bischofszell,148.0
Zimmer in St. Gallen,221.67
Gemeinsames Zimmer in St. Gallen,60.33
Wohnung in St. Gallen,243.67
Wohnung in Rorschach,204.67
Wohnung in Rorschach,208.67
Zimmer in St. Gallen,221.67
Wohnung in Rorschach,195.0
Eigentumswohnung in Arbon,150.0
Jurte (Rundzelt) in Bischofszell,76.67
Zimmer in St. Gallen,101.33
Wohnung in St. Gallen,306.33
Zimmer in St. Gallen,221.67
Wohnung in Horn,234.67
Eigentumswohnung in St. Gallen,350.0
Eigentumswohnung in Rorschacherberg,358.0
Wohnung in St. Gallen,142.33
