OpenAir St.Gallen vom 25.06.2026 bis zum 28.06.2026;;;;
#;Name;Untertitel;Preis für 3 Nächte;Preis pro Nacht
1;Zimmer in St. Gallen;Das Haus mit dem Schwein;CHF 198;CHF 66.00
2;Zimmer in St. Gallen;Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;CHF 301;CHF 100.33
3;Wohnung in St. Gallen;Elegante 3 Zimmer Residenz;CHF 750;CHF 250.00
4;Wohnung in Sankt Gallen;Attika 2,5 Zimmer möbliert Nähe HSG Universität;CHF 587;CHF 195.67
5;Wohnung in Goldach;heimelige Wohnung in Goldach;CHF 286;CHF 95.33
6;Zimmer in St. Gallen;Es können zwei Personen darin schlafen.;CHF 139;CHF 46.33
7;Wohnung in St. Gallen;Stadtstudio;CHF 465;CHF 155.00
8;Hotel in St. Gallen;Hotel Elite 24-Stunden-Self-Check-in;CHF 246;CHF 82.00
9;Wohnung in Goldach;spezielle Wohnung in Goldach;CHF 297;CHF 99.00
10;Wohnung in Rorschach;kleines Juwel -mit Terrasse;CHF 450;CHF 150.00
11;Privatunterkunft in Rorschach;Die gesamte MIND the GAP Villa;CHF 2’083;CHF 694.33
12;Zimmer in St. Gallen;Gemütliche Unterkunft am ruhigen Stadtrand;CHF 336;CHF 112.00
13;Eigentumswohnung in Rorschach;Grosszügige Garten-Wohnung;CHF 639;CHF 213.00
14;Wohnung in St. Gallen;Klara 1022 - Olma, Spital, Universität St. Gallen;CHF 1’677;CHF 559.00
15;Wohnung in Tübach;Bella Vista;CHF 476;CHF 158.67
16;Wohnung in St. Gallen;TouchBed | Superior-Studio;CHF 692;CHF 230.67
17;Eigentumswohnung in Rorschach;Genieße den Seeblick von der Dachterrasse;CHF 746;CHF 248.67
18;Wohnung in St. Gallen;BLIV: Exklusive Dachgeschosswohnung im Zentrum;CHF 1’449;CHF 483.00
19;Zimmer in Speicher;1er Zimmer ruhig 5 Min. bis ÖV;CHF 201;CHF 67.00
20;Eigentumswohnung in Rorschach;Genieße den Seeblick von der Dachterrasse;CHF 746;CHF 248.67
21;Wohnung in St. Gallen;BLIV: Exklusive Dachgeschosswohnung im Zentrum;CHF 1’449;CHF 483.00
22;Unterkunft in Wittenbach;Ruhiger Ort auf dem Dorfhügel.;CHF 139;CHF 46.33
23;Wohnung in Goldach;Modernes Studio nahe Bodensee | Ruhig & zentral;CHF 245;CHF 81.67
24;Wohnung in St. Gallen;Klara 1034- Olma, Spital, Universität St. Gallen;CHF 1’012;CHF 337.33
25;Wohnung in St. Gallen;Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!;CHF 828;CHF 276.00
26;Eigentumswohnung in Rorschach;Gelb, gelb, gelb, gelb!;CHF 616;CHF 205.33
27;Zimmer in Rehetobel;Appenzellerhaus mit viel Charme am Fusse des Kaien;CHF 156;CHF 52.00
28;Wohnung in St. Gallen;Stadtwohnung mit Küche & gratis Parkplatz;CHF 1’001;CHF 333.67
29;Wohnung in Arbon;Ganze Wohnung mitten in der Altstadt von Arbon;CHF 283;CHF 94.33
30;Wohnung in St. Gallen;Premium Atmosphäre pur;CHF 1’343;CHF 447.67
31;Zimmer in Heiden;Zwei helle Zimmer, Küche und Bad;CHF 294;CHF 98.00
32;Zimmer in Sankt Gallen;"Casa Siddhartha - ""H.Hesse""";CHF 165;CHF 55.00
33;Wohnung in Herisau;Charmante Wohnung mit Blick zum Säntis;CHF 692;CHF 230.67
34;Zimmer in Sankt Gallen;"Casa Siddhartha - ""Hemingway""";CHF 148;CHF 49.33
35;Unterkunft in St. Gallen;YELLOW INN 7 nähe Uni, Olma, Spital, FHS;CHF 654;CHF 218.00
36;Wohnung in St. Gallen;1 Zi-Studio zentral, ruhig im Gertrud Schlössli;CHF 450;CHF 150.00
37;Wohnung in Arbon;Gemütliches Apartment am Schloss;CHF 360;CHF 120.00
38;Wohnung in St. Gallen;Herzige Dachwohnung in St. Georgen, St. Gallen;CHF 422;CHF 140.67
