event,name,price_per_night
OASG,Das Haus mit dem Schwein,66.0 CHF
OASG,"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",100.33 CHF
OASG,Elegante 3 Zimmer Residenz,249.0 CHF
OASG,Stadtstudio,137.67 CHF
OASG,heimelige Wohnung in Goldach,95.33 CHF
OASG,"Attika 2,5 Zimmer möbliert Nähe HSG Universität",187.0 CHF
OASG,Schönes Zimmer in der Nähe von HSG,74.0 CHF
OASG,Historischer Charme in der Altstadt. Superior DZ,102.33 CHF
OASG,Engelburg Zuhause mit Aussicht,50.0 CHF
OASG,Liebevolle kleine Wohnung in St. Gallen nähe Uni,72.0 CHF
OASG,St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,66.67 CHF
OASG,"Moderne 80m²-Wohnung, Balkon & gratis Parkplatz",172.33 CHF
OASG,Es können zwei Personen darin schlafen.,46.33 CHF
OASG,Die gesamte MIND the GAP Villa,694.33 CHF
OASG,Hotel Elite 24-Stunden-Self-Check-in,82.0 CHF
OASG,Grosszügige Garten-Wohnung,213.0 CHF
OASG,kleines Juwel -mit Terrasse,248.67 CHF
OASG,Genieße den Seeblick von der Dachterrasse,99.0 CHF
OASG,spezielle Wohnung in Goldach,155.0 CHF
OASG,Bella Vista,112.0 CHF
OASG,Gemütliche Unterkunft am ruhigen Stadtrand,67.0 CHF
OASG,"Klara 1022 - Olma, Spital, Universität St. Gallen",447.67 CHF
OASG,TouchBed | Superior-Studio,230.67 CHF
OASG,BLIV: Exklusive Dachgeschosswohnung im Zentrum,482.67 CHF
OASG,"Zwei helle Zimmer, Küche und Bad",98.0 CHF
OASG,"Gelb, gelb, gelb, gelb!",205.33 CHF
OASG,"Klara 1034- Olma, Spital, Universität St. Gallen",335.33 CHF
OASG,Stadtwohnung mit Küche & gratis Parkplatz,333.67 CHF
OASG,Appenzellerhaus mit viel Charme am Fusse des Kaien,52.0 CHF
OASG,"Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!",275.33 CHF
OASG,Schöne 2 1/2 Zimmer Dachwohnung,163.67 CHF
OASG,"BLIV: Design-Apartment mit Parkplatz, nahe Zentrum",549.0 CHF
OASG,Schönes Zimmer in der Nähe des Stadtzentrums,42.67 CHF
OASG,Studio-Apartment im Zentrum Rorschach,112.33 CHF
OASG,Charmante Wohnung mit Blick zum Säntis,230.67 CHF
OASG,Ganze Wohnung mitten in der Altstadt von Arbon,94.33 CHF
OASG,Modernes Studio nahe Bodensee | Ruhig & zentral,81.67 CHF
OASG,"Herzige Dachwohnung in St. Georgen, St. Gallen",140.67 CHF
OASG,Gemütliches Apartment am Schloss,120.0 CHF
OASG,Casa Siddhartha - R. Musil,63.0 CHF
OASG,Moderne Wohnung nahe Messe und Zentrum,368.67 CHF
OASG,Gemütliche Souterrainwohnung mit gratis Parkplatz,221.0 CHF
OASG,Ruhiger Ort auf dem Dorfhügel.,49.33 CHF
OASG,Schlossapartament,370.33 CHF
OASG,Casa Siddhartha - „Hemingway“,308.0 CHF
OASG,Maisonette am Bodensee | Parkplatz | Hoher Komfort,55.0 CHF
OASG,"Klara 0002 - Olma, Spital, Universität St. Gallen",368.67 CHF
OASG,Casa Siddhartha - „H.Hesse“,75.0 CHF
OASG,Moderne Wohnung nahe Messe und Zentrum,304.67 CHF
OASG,"1 Zi-Studio zentral, ruhig im Gertrud Schlössli",213.67 CHF
OASG,Gästezimmer im Grünen,86.0 CHF
OASG,"Ruhig, Gratis Parkplatz, Balkon & im 1. Stockwerk",158.33 CHF
OASG,"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",338.67 CHF
OASG,"Haus mit Garten, ruhig, Top Aussicht, (Zimmer 1)",102.33 CHF
OASG,Ruhiges Tiny House in der Nähe des Waldes,38.33 CHF
OASG,Säntiszimmer,44.0 CHF
OASG,TouchBed | Loft mit Loggia und Whirlpool,509.0 CHF
OASG,Ruhige Lage am Bodensee,233.33 CHF
OASG,Appenzeller Hausteil mit Garten,149.67 CHF
OASG,TouchBed | Business Apartment Top Floor,243.67 CHF
OASG,Swissyurte (Rundhaus) Natur pur Ideal für 2 Pers.,76.67 CHF
OASG,Haus MiLu Ferienwohnung,150.0 CHF
OASG,3 Doppelzimmer Apartment in 9320 Arbon 8 A,141.67 CHF
OASG,Designstudio 55 m² – St. Georgen-Straße,306.33 CHF
OASG,"Klara 1033 - Olma, Spital, Universität St. Gallen",320.0 CHF
OASG,"YELLOW INN B 28 nähe Uni, Olma, Spital, FHS",213.67 CHF
OASG,Vintage Rustica 31 zur Olma 1 Min.,234.0 CHF
OASG,Stilvolle Wohnung mit Balkon nahe Bodensee,204.67 CHF
OASG,Einzelbett in einem Schlafsaal mit 6 Betten,60.33 CHF
OASG,Helle Wohnung in Rorschacherberg am Bodensee,90.33 CHF
OASG,Wellnessoase,296.0 CHF
OASG,Superior Apartment mit Seesicht,195.0 CHF
OASG,Studio mit Balkon in der Altstadt von St. Gallen,360.0 CHF
OASG,Modernes Studio – Steigerstraße,233.67 CHF
OASG,Zimmer an der Fahrradroute am Bodensee,76.0 CHF
OASG,"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah",303.0 CHF
OASG,Penthouse-Wohnung mit 250 m² Terrasse,132.67 CHF
OASG,Doppelzimmer ruhige Lage nahe ÖV,148.0 CHF
OASG,Auszeit an der Sitter (Hunde erlaubt),119.33 CHF
OASG,"Ferienhaus Bijou-Sitterblick, Preis für 2 Personen",114.33 CHF
OASG,Das Rocky Docky-Haus gemütliche Wohnung in Andwil,86.0 CHF
OASG,"Haus mit Garten, ruhig, Top Aussicht (Zimmer 2)",509.33 CHF
OASG,book2stay 2.5-Zimmer Apartment #8 Säntis bis zu 6,223.0 CHF
OASG,Schöne Wohnung 5 Minuten vom Bodensee entfernt,353.67 CHF
OASG,Stilvolles Studio Apartment bei der Messe Olma,266.0 CHF
OASG,Dom Studio K ohne Reinigung,276.0 CHF
OASG,Dom Studio M ohne Reinigung,59.67 CHF
OASG,Casa Siddhartha - Th. Mann,234.67 CHF
OASG,S-Cape Suite&Spa - Pure Auszeit,240.0 CHF
OASG,Seeblick-Apartment mit Balkon,234.0 CHF
OASG,Moderne Stadtwohnung,336.67 CHF
OASG,"YELLOW INN B 23 nähe Uni, Olma, Spital, FHS",234.0 CHF
OASG,"Klara 1031 - Olma, Spital, Universität St. Gallen",365.67 CHF
OASG,book2stay 2-Zi Apartment #6 Ebenalp bis 4 Personen,461.0 CHF
OASG,"schöne Wohnung in Flawil - neu, naturnah, ruhig",198.0 CHF
OASG,Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN,51.67 CHF
OASG,"YELLOW INN B 25 nähe Uni, Olma, Spital, FHS",234.0 CHF
OASG,See-Wohnung mit Gratisparkplatz,208.33 CHF
OASG,Bodensee | Zentral | Hochwertig | Nähe St.Gallen,404.33 CHF
OASG,"YELLOW INN 4 nähe Uni, Olma, Spital, FHS",260.67 CHF
OASG,Zimmer für 4 Personen,134.33 CHF
OASG,Zimmer für 3 Personen,127.33 CHF
OASG,Zentrale 3 1/2-grosse Wohnung 2.OG,267.67 CHF
OASG,book2stay 2-Zi Apartment #4 Hoher Kasten bis 4 Per,461.0 CHF
OASG,Nani’s Höckli im Appenzellerland,104.0 CHF
OASG,"YELLOW INN 9 nähe Olma, Uni, Spital, FHS",234.0 CHF
OASG,Studio Apartment mit Seesicht,183.0 CHF
OASG,NTN House,101.33 CHF
OLMA,Das Haus mit dem Schwein,43.6 CHF
OLMA,"St.Gallen zentral, ruhig, bei Badeweihern und Wald",102.8 CHF
OLMA,Gemütliche Wohnung,77.9 CHF
OLMA,4 Zimmer mit Charme an bester Lage,130.6 CHF
OLMA,St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,77.3 CHF
OLMA,2. Modernes Apartment 2 Min vom Bahnhof,151.0 CHF
OLMA,BLIV: Grosszügiges Altbaujuwel im Zentrum,342.1 CHF
OLMA,Zur Geduld (direkt am Bahnhof),70.6 CHF
OLMA,Studio mit Panoramaaussicht,60.0 CHF
OLMA,"2 Zimmer mit Balkon, Netflix und Mietfahrräder",104.6 CHF
OLMA,"Historischer Charme in der Altstadt.
Superior-DZ",123.9 CHF
OLMA,1 Zimmerwohnung ohne Küche mitten im Zentrum,74.3 CHF
OLMA,Idyllische Wohnung in der Natur,142.6 CHF
OLMA,gemütliche Dachwohnung,90.0 CHF
OLMA,"2.5 Zimmer, modern, ruhig und zentrumsnah",137.3 CHF
OLMA,Gästezimmer mit Dusche/WC,68.8 CHF
OLMA,"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",84.2 CHF
OLMA,Studio mit Charme und Aussicht,60.0 CHF
OLMA,Weltbürger:in 7,109.0 CHF
OLMA,Die gesamte MIND the GAP Villa,573.3 CHF
OLMA,Bella Vista,100.0 CHF
OLMA,"Stilvolle Wohnung, historischer Charme/Altstadt",228.3 CHF
OLMA,2.5 Zimmer Dachwohnung mit Gartensitzplatz,107.8 CHF
OLMA,Ganze Wohnung mitten in der Altstadt von Arbon,61.2 CHF
OLMA,Fühlen sie sich wie zu Hause,53.9 CHF
OLMA,Bijoux Ferienwohnung auf Bauernhof im Wald,91.6 CHF
OLMA,Charmante Wohnung im Zentrum von Goldach,76.7 CHF
OLMA,Kernsanierte Wohnung nähe Bahnhof und Zentrum,115.0 CHF
OLMA,gemütliche Wohnung,116.2 CHF
OLMA,Haus am Bodensee mit grossem Garten,150.5 CHF
OLMA,Es können zwei Personen darin schlafen.,39.7 CHF
OLMA,Ferienwohnung Narnia,87.3 CHF
OLMA,1. Modernes Apartment 2 Min vom Bahnhof,151.0 CHF
OLMA,gemütliches Zimmer mit Privatsphäre,42.8 CHF
OLMA,TouchBed | Budget Zwei-Bett-Zimmer,87.8 CHF
