OpenAir;25.06.2026 - 28.06.2026;;;;
;;;;;
nummer;titel;preis_rabatt;preis_ohneRabatt;preis_total;preis_proNacht
1;Zimmer in St. Gallen;;198;198;66
2;Zimmer in St. Gallen;;301;301;100
3;Wohnung in Sankt Gallen;;561;561;187
4;Hotel in St. Gallen;;246;246;82
5;Wohnung in St. Gallen;;747;747;249
6;Wohnung in St. Gallen;;413;413;138
7;Wohnung in St. Gallen;;216;216;72
8;Unterkunft in St. Gallen;;307;307;102
9;Zimmer in St Gallen;;200;200;67
10;Zimmer in Engelburg;;150;150;50
11;Wohnung in St. Gallen;;517;517;172
12;Zimmer in St. Gallen;;222;222;74
13;Wohnung in Goldach;;286;286;95
14;Zimmer in St. Gallen;;139;139;46
15;Wohnung in Rorschach;450;;450;150
16;Wohnung in Goldach;;297;297;99
17;Wohnung in St. Gallen;;692;692;231
18;Eigentumswohnung in Rorschach;;639;639;213
19;Wohnung in Goldach;;245;245;82
20;Wohnung in St. Gallen;1’483;;1483;494
21;Privatunterkunft in Rorschach;;2’083;2083;694
22;Wohnung in St. Gallen;;826;826;275
23;Wohnung in Tübach;;465;465;155
24;Zimmer in St. Gallen;;128;128;43
25;Wohnung in St. Gallen;;914;914;305
26;Zimmer in St. Gallen;;336;336;112
27;Wohnung in Rorschacherberg;;271;271;90
28;Eigentumswohnung in Rorschach;;616;616;205
29;Wohnung in St. Gallen;;1’006;1006;335
30;Wohnung in St. Gallen;;990;990;330
31;Wohnung in St. Gallen;;663;663;221
32;Wohnung in St. Gallen;;422;422;141
33;Zimmer in Speicher;;201;201;67
34;Gästehaus in Wittenbach;;132;132;44
35;Wohnung in Arbon;;283;283;94
36;Eigentumswohnung in Rorschach;;746;746;249
37;Zimmer in Rehetobel;;156;156;52
38;Wohnung in St. Gallen;449;;449;150
39;Tiny House in Rorschacherberg;;475;475;158
40;Wohnung in St. Gallen;;491;491;164
41;Wohnung in Arbon;;360;360;120
42;Wohnung in St. Gallen;;1’647;1647;549
43;Wohnung in Arbon;330;;330;110
44;Zimmer in Heiden;;294;294;98
45;Wohnung in St. Gallen;;701;701;234
46;Eigentumswohnung in St. Gallen;;1’106;1106;369
47;Wohnung in Herisau;;692;692;231
48;Zimmer in Eggersriet;;258;258;86
49;Wohnung in St. Gallen;;924;924;308
50;Wohnung in St. Gallen;;1’343;1343;448
51;Zimmer in Teufen;;225;225;75
52;Wohnung in St. Gallen;;1’448;1448;483
53;Zimmer in Sankt Gallen;;165;165;55
54;Unterkunft in St. Gallen;;641;641;214
55;Wohnung in St. Gallen;;1’016;1016;339
56;Privatunterkunft in Eggersriet;;449;449;150
57;Wohnung in Rorschach;;1’111;1111;370
58;Wohnung in Rorschach;;337;337;112
59;Unterkunft in Wittenbach;139;;139;46
60;Zimmer in Sankt Gallen;;148;148;49
61;Eigentumswohnung in St. Gallen;;1’106;1106;369
62;Zimmer in Arbon;;228;228;76
63;Wohnung in Arbon;;425;425;142
64;Wohnung in St. Gallen;;731;731;244
65;Unterkunft in Rorschacherberg;;265;265;88
66;Wohnung in Rorschach;;585;585;195
67;Wohnung in Rorschach;;624;624;208
68;Wohnung in St. Gallen;;919;919;306
69;Wohnung in Rorschach;;909;909;303
70;Zimmer in St. Gallen;;702;702;234
71;Wohnung in St. Gallen;;960;960;320
72;Wohnung in St. Gallen;;1’527;1527;509
73;Unterkunft in St. Gallen;;641;641;214
74;Zimmer in Sankt Gallen;;189;189;63
75;Wohnung in Rorschach;;700;700;233
76;Wohnung in Horn;;704;704;235
77;Zimmer in St. Gallen;;403;403;134
78;Wohnung in St. Gallen;;427;427;142
79;Zimmer in Wittenbach;;115;115;38
80;Jurte (Rundzelt) in Bischofszell;;230;230;77
81;Wohnung in Rorschach;;700;700;233
82;Zimmer in St. Gallen;;403;403;134
83;Wohnung in Andwil;;343;343;114
84;Privatunterkunft in Winden;;888;888;296
85;Gemeinsames Zimmer in St. Gallen;;190;190;63
86;Wohnung in St. Gallen;;1’097;1097;366
87;Zimmer in Eggersriet;;258;258;86
88;Gästehaus in Bischofszell;;444;444;148
89;Wohnung in Rorschach;;614;614;205
90;Unterkunft in St. Gallen;;798;798;266
91;Unterkunft in St. Gallen;;649;649;216
92;Zimmer in Rorschach;;307;307;102
93;Wohnung in Rorschach;;549;549;183
94;Eigentumswohnung in Rorschacherberg;;1’082;1082;361
95;Wohnung in St. Gallen;;1’070;1070;357
96;Unterkunft in St. Gallen;;828;828;276
97;Gemeinsames Zimmer in St. Gallen;;181;181;60
98;Zimmer in Speicher;;398;398;133
99;Wohnung in Rehetobel;;312;312;104
100;Eigentumswohnung in Arbon;;450;450;150
;;;;;
;;;;;
OLMA;08.10.2026 - 18.10.2026;;;;
;;;;;
nummer;titel;preis_rabatt;preis_ohneRabatt;preis_total;preis_proNacht
1;Zimmer in St. Gallen;436;;436;44
2;Wohnung in St. Gallen;1’028;;1028;103
3;Wohnung in St. Gallen;779;;779;78
4;Zimmer in St Gallen;773;;773;77
5;Wohnung in St. Gallen;;1’306;1306;131
6;Wohnung in St. Gallen;706;;706;71
7;Wohnung in St. Gallen;600;;600;60
8;Wohnung in Sankt Gallen;1’510;;1510;151
9;Wohnung in St. Gallen;;3’421;3421;342
10;Wohnung in St. Gallen;;1’046;1046;105
11;Zimmer in St. Gallen;600;;600;60
12;Unterkunft in St. Gallen;1’157;;1157;116
13;Wohnung in Gossau;913;;913;91
14;Wohnung in St. Gallen;600;;600;60
15;Wohnung in St. Gallen;743;;743;74
16;Unterkunft in St. Gallen;688;;688;69
17;Wohnung in St. Gallen;;1’373;1373;137
18;Wohnung in St. Gallen;900;;900;90
